order_date,ship_date,order_id,ship_mode,customer_id,product_id,sales,quantity,discount,profit,cost
,2016-11-11,CA-2016-152156,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.9136,220.04639
,2016-11-11,CA-2016-152156,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0.0,219.582,512.35803
,,CA-2016-138688,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.8714,7.7486
2015-10-11,2015-10-18,US-2015-108966,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031,2437.47
2015-10-11,2015-10-18,US-2015-108966,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164,24.8145
,,CA-2014-115812,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.1694,34.6906
,,CA-2014-115812,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.9656,5.3144
,,CA-2014-115812,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152,1020.54596
,,CA-2014-115812,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825,15.9018755
,,CA-2014-115812,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.47,80.43
,,CA-2014-115812,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092,2026.0934
,,CA-2014-115812,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568,1053.834
,,CA-2017-114412,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432,12.636
,2016-12-10,CA-2016-161389,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922,344.22977
2015-11-22,2015-11-26,US-2015-118983,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858,963.34
2015-11-22,2015-11-26,US-2015-118983,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816,31.8
2014-11-11,2014-11-18,CA-2014-105893,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.3176,652.5624
,,CA-2014-167164,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.99,45.510002
,,CA-2014-143336,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0.0,2.4824,6.0776005
,,CA-2014-143336,Second Class,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011,246.83624
,,CA-2014-143336,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384,19.169998
,2016-12-13,CA-2016-137330,Standard Class,KB-16585,OFF-AR-10000246,19.46,7,0.0,5.0596,14.400399
,2016-12-13,CA-2016-137330,Standard Class,KB-16585,OFF-AP-10001492,60.34,7,0.0,15.6884,44.6516
,,US-2017-156909,Second Class,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,103.41657
,,CA-2015-106320,Standard Class,EB-13870,FUR-TA-10000577,1044.63,3,0.0,240.2649,804.3651
,,CA-2016-121755,Second Class,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,9.282
,,CA-2016-121755,Second Class,EH-13945,TEC-AC-10003027,90.57,3,0.0,11.7741,78.7959
,,US-2015-150630,Standard Class,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,9496.965
